method: T.testFW:702546991
fw[Ljava.lang.String;@2430c6cauninit(702546991) -> uninit(1145832897) 
opened(702546991) -> opened(1145832897) 
error(702546991) -> error(1145832897) 
uninit(1145832897) -> uninit(346657639) 
opened(1145832897) -> opened(346657639) 
error(1145832897) -> error(346657639) 
uninit(346657639) -> uninit(17103668) 
opened(346657639) -> opened(17103668) 
error(346657639) -> error(17103668) 
uninit(17103668) -> uninit(1846023025) 
opened(17103668) -> opened(1846023025) 
error(17103668) -> error(1846023025) 
uninit(1846023025) -> uninit(1223758330) 
opened(1846023025) -> opened(1223758330) 
error(1846023025) -> error(1223758330) 
uninit(1223758330) -> uninit(2091929240) 
opened(1223758330) -> opened(2091929240) 
error(1223758330) -> error(2091929240) 
uninit(2091929240) -> uninit(1275152355) 
opened(2091929240) -> opened(1275152355) 
error(2091929240) -> error(1275152355) 
uninit(1275152355) -> uninit(335893834) 
opened(1275152355) -> opened(335893834) 
error(1275152355) -> error(335893834) 
uninit(1275152355) -> uninit(1746317072) 
opened(1275152355) -> opened(1746317072) 
error(1275152355) -> error(1746317072) 
uninit(1746317072) -> uninit(1810859225) 
opened(1746317072) -> opened(1810859225) 
error(1746317072) -> error(1810859225) 
uninit(1810859225) -> opened(972749291) 
opened(1810859225) -> error(972749291) 
error(1810859225) -> error(972749291) 
uninit(972749291) -> uninit(335893834) 
opened(972749291) -> opened(335893834) 
error(972749291) -> error(335893834) 
uninit(335893834) -> uninit(1515326872) 
opened(335893834) -> opened(1515326872) 
error(335893834) -> error(1515326872) 
uninit(335893834) -> uninit(1292481994) 
opened(335893834) -> opened(1292481994) 
error(335893834) -> error(1292481994) 
uninit(1292481994) -> uninit(1515326872) 
opened(1292481994) -> opened(1515326872) 
error(1292481994) -> error(1515326872) 
uninit(1515326872) -> uninit(926449292) 
opened(1515326872) -> opened(926449292) 
error(1515326872) -> error(926449292) 
uninit(1515326872) -> uninit(1757702832) 
opened(1515326872) -> opened(1757702832) 
error(1515326872) -> error(1757702832) 
uninit(1757702832) -> error(926449292) 
opened(1757702832) -> uninit(926449292) 
error(1757702832) -> error(926449292) 
uninit(926449292) -> uninit(453388835) 
opened(926449292) -> opened(453388835) 
error(926449292) -> error(453388835) 
